
Récapitulatif de mes puissances atteintes en W

Date et heure de relève par le distributeur;Puissance atteinte (W);Nature de la donnée

30/01/2026;;
00:00:00;2258;Réelle
23:30:00;2170;Réelle
23:00:00;2267;Réelle
22:30:00;2883;Réelle
22:00:00;2980;Réelle
21:30:00;2696;Réelle
21:00:00;2793;Réelle
20:30:00;2509;Réelle
20:00:00;2502;Réelle
19:30:00;2322;Réelle
19:00:00;2315;Réelle
18:30:00;2931;Réelle
18:00:00;3028;Réelle
17:30:00;1844;Réelle
17:00:00;1941;Réelle
16:30:00;1657;Réelle
16:00:00;1754;Réelle
15:30:00;1470;Réelle
15:00:00;1567;Réelle
14:30:00;2183;Réelle
14:00:00;2176;Réelle
13:30:00;1996;Réelle
13:00:00;1989;Réelle
12:30:00;1705;Réelle
12:00:00;1802;Réelle
11:30:00;1518;Réelle
11:00:00;1615;Réelle
10:30:00;2231;Réelle
10:00:00;1428;Réelle
09:30:00;2044;Réelle
09:00:00;2141;Réelle
08:30:00;1857;Réelle
08:00:00;1850;Réelle
07:30:00;1670;Réelle
07:00:00;1663;Réelle
06:30:00;2279;Réelle
06:00:00;1476;Réelle
05:30:00;2592;Réelle
05:00:00;2689;Réelle
04:30:00;2405;Réelle
04:00:00;2502;Réelle
03:30:00;2218;Réelle
03:00:00;2315;Réelle
02:30:00;2031;Réelle
02:00:00;2024;Réelle
01:30:00;2744;Réelle
01:00:00;2737;Réelle
00:30:00;2453;Réelle

29/01/2026;;
00:00:00;2623;Réelle
23:30:00;1635;Réelle
23:00:00;1732;Réelle
22:30:00;2348;Réelle
22:00:00;2445;Réelle
21:30:00;3061;Réelle
21:00:00;3054;Réelle
20:30:00;2874;Réelle
20:00:00;2867;Réelle
19:30:00;2583;Réelle
19:00:00;2680;Réelle
18:30:00;2396;Réelle
18:00:00;2493;Réelle
17:30:00;2209;Réelle
17:00:00;1406;Réelle
16:30:00;2022;Réelle
16:00:00;2119;Réelle
15:30:00;1835;Réelle
15:00:00;1828;Réelle
14:30:00;1648;Réelle
14:00:00;1641;Réelle
13:30:00;2257;Réelle
13:00:00;1454;Réelle
12:30:00;2070;Réelle
12:00:00;2167;Réelle
11:30:00;1883;Réelle
11:00:00;1980;Réelle
10:30:00;1696;Réelle
10:00:00;1793;Réelle
09:30:00;1509;Réelle
09:00:00;1502;Réelle
08:30:00;2222;Réelle
08:00:00;2215;Réelle
07:30:00;1931;Réelle
07:00:00;2028;Réelle
06:30:00;1744;Réelle
06:00:00;1841;Réelle
05:30:00;2057;Réelle
05:00:00;2154;Réelle
04:30:00;2770;Réelle
04:00:00;1967;Réelle
03:30:00;2583;Réelle
03:00:00;2576;Réelle
02:30:00;2396;Réelle
02:00:00;2389;Réelle
01:30:00;2105;Réelle
01:00:00;2202;Réelle
00:30:00;1918;Réelle

28/01/2026;;
00:00:00;1984;Réelle
23:30:00;2000;Réelle
23:00:00;1993;Réelle
22:30:00;2713;Réelle
22:00:00;2706;Réelle
21:30:00;2422;Réelle
21:00:00;2519;Réelle
20:30:00;3135;Réelle
20:00:00;2332;Réelle
19:30:00;2948;Réelle
19:00:00;3045;Réelle
18:30:00;2761;Réelle
18:00:00;2858;Réelle
17:30:00;1674;Réelle
17:00:00;1667;Réelle
16:30:00;1487;Réelle
16:00:00;1480;Réelle
15:30:00;2096;Réelle
15:00:00;2193;Réelle
14:30:00;1909;Réelle
14:00:00;2006;Réelle
13:30:00;1722;Réelle
13:00:00;1819;Réelle
12:30:00;1535;Réelle
12:00:00;1632;Réelle
11:30:00;2248;Réelle
11:00:00;2241;Réelle
10:30:00;2061;Réelle
10:00:00;2054;Réelle
09:30:00;1770;Réelle
09:00:00;1867;Réelle
08:30:00;1583;Réelle
08:00:00;1680;Réelle
07:30:00;2296;Réelle
07:00:00;1493;Réelle
06:30:00;2109;Réelle
06:00:00;2206;Réelle
05:30:00;2422;Réelle
05:00:00;2415;Réelle
04:30:00;2235;Réelle
04:00:00;2228;Réelle
03:30:00;1944;Réelle
03:00:00;2041;Réelle
02:30:00;2657;Réelle
02:00:00;2754;Réelle
01:30:00;2470;Réelle
01:00:00;2567;Réelle
00:30:00;2283;Réelle

27/01/2026;;
00:00:00;2349;Réelle
23:30:00;1465;Réelle
23:00:00;1458;Réelle
22:30:00;2974;Réelle
22:00:00;3071;Réelle
21:30:00;2787;Réelle
21:00:00;2884;Réelle
20:30:00;2600;Réelle
20:00:00;2697;Réelle
19:30:00;2413;Réelle
19:00:00;2510;Réelle
18:30:00;3126;Réelle
18:00:00;3119;Réelle
17:30:00;2039;Réelle
17:00:00;2032;Réelle
16:30:00;1748;Réelle
16:00:00;1845;Réelle
15:30:00;1561;Réelle
15:00:00;1658;Réelle
14:30:00;2274;Réelle
14:00:00;1471;Réelle
13:30:00;2087;Réelle
13:00:00;2184;Réelle
12:30:00;1900;Réelle
12:00:00;1893;Réelle
11:30:00;1713;Réelle
11:00:00;1706;Réelle
10:30:00;1422;Réelle
10:00:00;1519;Réelle
09:30:00;2135;Réelle
09:00:00;2232;Réelle
08:30:00;1948;Réelle
08:00:00;2045;Réelle
07:30:00;1761;Réelle
07:00:00;1858;Réelle
06:30:00;1574;Réelle
06:00:00;1567;Réelle
05:30:00;2787;Réelle
05:00:00;2780;Réelle
04:30:00;2496;Réelle
04:00:00;2593;Réelle
03:30:00;2309;Réelle
03:00:00;2406;Réelle
02:30:00;2122;Réelle
02:00:00;2219;Réelle
01:30:00;1935;Réelle
01:00:00;2032;Réelle
00:30:00;2648;Réelle

26/01/2026;;
00:00:00;2714;Réelle
23:30:00;1726;Réelle
23:00:00;1823;Réelle
22:30:00;2439;Réelle
22:00:00;2536;Réelle
21:30:00;3152;Réelle
21:00:00;2349;Réelle
20:30:00;2965;Réelle
20:00:00;2958;Réelle
19:30:00;2778;Réelle
19:00:00;2771;Réelle
18:30:00;2487;Réelle
18:00:00;2584;Réelle
17:30:00;1400;Réelle
17:00:00;1497;Réelle
16:30:00;2113;Réelle
16:00:00;2210;Réelle
15:30:00;1926;Réelle
15:00:00;2023;Réelle
14:30:00;1739;Réelle
14:00:00;1732;Réelle
13:30:00;1552;Réelle
13:00:00;1545;Réelle
12:30:00;2161;Réelle
12:00:00;2258;Réelle
11:30:00;1974;Réelle
11:00:00;2071;Réelle
10:30:00;1787;Réelle
10:00:00;1884;Réelle
09:30:00;1600;Réelle
09:00:00;1697;Réelle
08:30:00;1413;Réelle
08:00:00;1406;Réelle
07:30:00;2126;Réelle
07:00:00;2119;Réelle
06:30:00;1835;Réelle
06:00:00;1932;Réelle
05:30:00;2148;Réelle
05:00:00;2245;Réelle
04:30:00;1961;Réelle
04:00:00;2058;Réelle
03:30:00;2674;Réelle
03:00:00;2771;Réelle
02:30:00;2487;Réelle
02:00:00;2480;Réelle
01:30:00;2300;Réelle
01:00:00;2293;Réelle
00:30:00;2009;Réelle

25/01/2026;;
00:00:00;2179;Réelle
23:30:00;2091;Réelle
23:00:00;2188;Réelle
22:30:00;2804;Réelle
22:00:00;2901;Réelle
21:30:00;2617;Réelle
21:00:00;2610;Réelle
20:30:00;2430;Réelle
20:00:00;2423;Réelle
19:30:00;3039;Réelle
19:00:00;3136;Réelle
18:30:00;2852;Réelle
18:00:00;2949;Réelle
17:30:00;1765;Réelle
17:00:00;1862;Réelle
16:30:00;1578;Réelle
16:00:00;1675;Réelle
15:30:00;2291;Réelle
15:00:00;2284;Réelle
14:30:00;2104;Réelle
14:00:00;2097;Réelle
13:30:00;1813;Réelle
13:00:00;1910;Réelle
12:30:00;1626;Réelle
12:00:00;1723;Réelle
11:30:00;1439;Réelle
11:00:00;1536;Réelle
10:30:00;2152;Réelle
10:00:00;2249;Réelle
09:30:00;1965;Réelle
09:00:00;1958;Réelle
08:30:00;1778;Réelle
08:00:00;1771;Réelle
07:30:00;1487;Réelle
07:00:00;1584;Réelle
06:30:00;2200;Réelle
06:00:00;2297;Réelle
05:30:00;2513;Réelle
05:00:00;2610;Réelle
04:30:00;2326;Réelle
04:00:00;2423;Réelle
03:30:00;2139;Réelle
03:00:00;2132;Réelle
02:30:00;1952;Réelle
02:00:00;1945;Réelle
01:30:00;2561;Réelle
01:00:00;2658;Réelle
00:30:00;2374;Réelle

24/01/2026;;
00:00:00;2440;Réelle
23:30:00;1556;Réelle
23:00:00;1549;Réelle
22:30:00;3169;Réelle
22:00:00;3162;Réelle
21:30:00;2878;Réelle
21:00:00;2975;Réelle
20:30:00;2691;Réelle
20:00:00;2788;Réelle
19:30:00;2504;Réelle
19:00:00;2601;Réelle
18:30:00;2317;Réelle
18:00:00;2414;Réelle
17:30:00;2130;Réelle
17:00:00;2123;Réelle
16:30:00;1943;Réelle
16:00:00;1936;Réelle
15:30:00;1652;Réelle
15:00:00;1749;Réelle
14:30:00;1465;Réelle
14:00:00;1562;Réelle
13:30:00;2178;Réelle
13:00:00;2275;Réelle
12:30:00;1991;Réelle
12:00:00;2088;Réelle
11:30:00;1804;Réelle
11:00:00;1797;Réelle
10:30:00;1617;Réelle
10:00:00;1610;Réelle
09:30:00;2226;Réelle
09:00:00;1423;Réelle
08:30:00;2039;Réelle
08:00:00;2136;Réelle
07:30:00;1852;Réelle
